ticker,endeks_adi,olcum_tarihi
ALVES,BIST ANKARA,2026-08-08
ALVES,BIST ANA,2026-08-08
ALVES,BIST SINAİ,2026-08-08
ALVES,BIST TÜM,2026-08-08
ANELE,BIST TÜM,2026-08-08
ANELE,BIST 500,2026-08-08
ANELE,BIST İSTANBUL,2026-08-08
ANELE,BIST TÜM-100,2026-08-08
ANELE,BIST İNŞAAT,2026-08-08
ANELE,BIST ANA,2026-08-08
ANELE,BIST HİZMETLER,2026-08-08
ANGEN,BIST 500,2026-08-08
ANGEN,BIST İSTANBUL,2026-08-08
ANGEN,BIST TÜM,2026-08-08
ANGEN,BIST SINAİ,2026-08-08
ANGEN,BIST ANA,2026-08-08
ANGEN,BIST KOBI SANAYİ,2026-08-08
ANGEN,BIST TÜM-100,2026-08-08
ANGEN,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
ANGEN,BIST KATILIM TUM,2026-08-08
ANHYT,BIST TEMETTÜ,2026-08-08
ANHYT,BIST TÜM-100,2026-08-08
ANHYT,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ANHYT,BIST TÜM,2026-08-08
ANHYT,BIST SİGORTA,2026-08-08
ANHYT,BIST 500,2026-08-08
ANHYT,BIST TEMETTÜ 25,2026-08-08
ANHYT,BIST YILDIZ,2026-08-08
ANHYT,BIST MALİ,2026-08-08
ANHYT,BIST TEMETTU 5 YIL,2026-08-08
ANHYT,BIST TEMETTU 10 YIL,2026-08-08
ANSGR,BIST TÜM,2026-08-08
ANSGR,BIST KURUMSAL YÖNETİM,2026-08-08
ANSGR,BIST YILDIZ,2026-08-08
ANSGR,BIST 500,2026-08-08
ANSGR,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ANSGR,BIST 100-30,2026-08-08
ANSGR,BIST MALİ,2026-08-08
ANSGR,BIST SİGORTA,2026-08-08
ANSGR,BIST 100,2026-08-08
ARASE,BIST TÜM,2026-08-08
ARASE,BIST YILDIZ,2026-08-08
ARASE,BIST TÜM-100,2026-08-08
ARASE,BIST KATILIM TUM,2026-08-08
ARASE,BIST KATILIM TEMETTU,2026-08-08
ARASE,BIST 500,2026-08-08
ARASE,BIST HİZMETLER,2026-08-08
ARASE,BIST TEMETTÜ,2026-08-08
ARASE,BIST ELEKTRİK,2026-08-08
ARCLK,"BIST METAL EŞYA, MAKİNA",2026-08-08
ARCLK,BIST YILDIZ,2026-08-08
ARCLK,BIST SINAİ,2026-08-08
ARCLK,BIST 100-30,2026-08-08
ARCLK,BIST İSTANBUL,2026-08-08
ARCLK,BIST TÜM,2026-08-08
ARCLK,BIST 100,2026-08-08
ARCLK,BIST KURUMSAL YÖNETİM,2026-08-08
ARCLK,BIST 500,2026-08-08
